KLVR Charger Detection Monitor - Started 2025-08-26 13:47:27
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:47:27 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=   4mV | Cycle=1
#  4 13:47:28 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 13:47:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 13:47:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 13:47:30 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 13:47:31 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 13:47:31 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 13:47:32 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 13:47:32 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=   4mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1556mV | Δ=   4mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=1
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1594mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1576mV | Δ=   4mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1584mV | Δ=   0mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1580mV | Δ=   2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1578mV | Δ=   6mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=   2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV | Cycle=1
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1538mV | Δ=   2mV | Cycle=1
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV | Cycle=3
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1558mV | Δ= -10mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1586mV | Δ=   2mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=1
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1580mV | Δ=   2mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=3
# 12 13:47:33 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 13 13:47:33 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 14 13:47:34 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 15 13:47:34 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 16 13:47:35 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 17 13:47:35 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 18 13:47:36 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 19 13:47:37 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 20 13:47:37 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 21 13:47:38 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=   4mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1556mV | Δ=   4mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=1
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1594mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1576mV | Δ=   4mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1584mV | Δ=   0mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1580mV | Δ=   2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1578mV | Δ=   6mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=   2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV | Cycle=1
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1538mV | Δ=   2mV | Cycle=1
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV | Cycle=3
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1558mV | Δ= -10mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1586mV | Δ=   2mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=1
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1580mV | Δ=   2mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=3
# 22 13:47:38 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 23 13:47:39 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 24 13:47:39 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 25 13:47:40 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 26 13:47:40 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 27 13:47:41 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 28 13:47:41 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 29 13:47:42 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 30 13:47:43 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 31 13:47:43 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=   4mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1556mV | Δ=   4mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=1
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1594mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1576mV | Δ=   4mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1584mV | Δ=   0mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1580mV | Δ=   2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1578mV | Δ=   6mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=   2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV | Cycle=1
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1538mV | Δ=   2mV | Cycle=1
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV | Cycle=3
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1558mV | Δ= -10mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1586mV | Δ=   2mV | Cycle=2
