KLVR Charger Detection Monitor - Started 2025-08-26 12:43:57
Monitoring: http://10.110.73.155:8000
============================================================

#  1 12:43:57 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1540mV | Δ=   8mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1530mV | Δ=  10mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   2mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1478mV | AAA_OFF=1480mV | Δ=  -2mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1494mV | AAA_OFF=1494mV | Δ=   0mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1476mV | AAA_OFF=1476mV | Δ=   0mV
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1484mV | AAA_OFF=1488mV | Δ=  -4mV
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=   2mV
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1548mV | Δ=   6mV
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1500mV | Δ=   4mV
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1552mV | Δ=  10mV
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1582mV | Δ= -14mV
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1566mV | Δ=   4mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1578mV | Δ=   4mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=  -2mV
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=  -4mV
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1548mV | Δ=  -8mV
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1486mV | AAA_OFF=1484mV | Δ=   2mV
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1494mV | AAA_OFF=1494mV | Δ=   0mV
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1562mV | Δ=   4mV
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1502mV | AAA_OFF=1512mV | Δ= -10mV
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1464mV | AAA_OFF=1470mV | Δ=  -6mV
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=  -2mV
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1578mV | Δ=  -8mV
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1574mV | Δ=  -2mV
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1488mV | AAA_OFF=1488mV | Δ=   0mV
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1504mV | Δ=   0mV
#  2 12:43:58 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  3 12:43:58 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 12:43:59 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 12:43:59 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 12:44:00 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 12:44:00 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 12:44:01 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
