KLVR Charger Detection Monitor - Started 2025-08-26 15:25:24
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:25:24 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1522mV | Δ=  18mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1560mV | Δ= -28mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1568mV | Δ= -24mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1518mV | Δ=  24mV | Cycle=2
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1538mV | Δ= -18mV | Cycle=1
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=1
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1572mV | Δ= -12mV | Cycle=3
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1546mV | Δ=  -8mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=  -8mV | AAA_OFF= -12mV | Δ=   0mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1532mV | Δ=   2mV | Cycle=1
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1534mV | Δ=   0mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1568mV | Δ= -12mV | Cycle=2
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1562mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1556mV | Δ= -10mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1586mV | Δ= -20mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV | Cycle=3
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1570mV | Δ= -30mV | Cycle=1
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1538mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1588mV | Δ= -32mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=  -6mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV | Cycle=2
    ✅ SLOT 27: KLVR-AA  | AAA_ON=  -2mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=1
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1566mV | Δ= -16mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1550mV | Δ=   6mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1534mV | Δ= -18mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=1590mV | Δ= -12mV | Cycle=1
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1578mV | Δ= -44mV | Cycle=2
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1518mV | AAA_OFF=1500mV | Δ=  18mV | Cycle=3
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1514mV | Δ=  22mV | Cycle=1
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1534mV | Δ=  12mV | Cycle=1
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1540mV | Δ=   6mV | Cycle=3
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1598mV | Δ= -44mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1562mV | Δ=  -6mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1544mV | Δ= -10mV | Cycle=2
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1540mV | Δ= -14mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=1
#  2 15:25:25 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  3 15:25:26 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 15:25:26 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 15:25:27 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 15:25:28 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 15:25:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 15:25:29 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 15:25:30 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 15:25:31 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 15:25:32 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1522mV | Δ=  18mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1566mV | Δ= -38mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1568mV | Δ= -24mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1518mV | Δ=  24mV | Cycle=2
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1586mV | Δ= -36mV | Cycle=3
    ✅ SLOT  5: KLVR-AA  | AAA_ON=  -2mV | AAA_OFF=   2mV | Δ=   0mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1538mV | Δ= -18mV | Cycle=1
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1564mV | Δ=  -4mV | Cycle=3
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1584mV | Δ= -28mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1572mV | Δ= -12mV | Cycle=3
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1546mV | Δ=  -8mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1532mV | Δ=   2mV | Cycle=1
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1574mV | Δ= -40mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1590mV | Δ= -30mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1562mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1556mV | Δ= -10mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=  14mV | Δ=   0mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV | Cycle=3
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1538mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1588mV | Δ= -32mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1530mV | Δ=   0mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV | Cycle=2
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1566mV | Δ=   6mV | Cycle=2
    ✅ SLOT 29: KLVR-AA  | AAA_ON=  -2mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1564mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1550mV | Δ=   6mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1534mV | Δ= -18mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1590mV | Δ= -16mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1530mV | AAA_OFF=1546mV | Δ= -16mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1518mV | AAA_OFF=1500mV | Δ=  18mV | Cycle=3
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1514mV | Δ=  22mV | Cycle=1
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1534mV | Δ=  12mV | Cycle=1
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1540mV | Δ=   6mV | Cycle=3
